# Conversazione con lo Spark ricavata da un btsnoop_hci.log.
# APP = mandato dal telefono, ampli = notifica in arrivo.
# messaggi: 163  (dall'app: 50)

  606,937s  ampli  0x0377   f0 01 5a 76 03 77 09 4a 3e 7f 7a 0e f7
  607,119s  ampli  0x0377   f0 01 5b 72 03 77 0d 4a 3e 0c 4e 49 f7
  607,323s  ampli  0x0377   f0 01 5c 4b 03 77 1d 4a 3e 19 13 28 f7
  607,507s  ampli  0x0377   f0 01 5d 49 03 77 15 4a 3e 26 64 6a f7
  607,719s  ampli  0x0377   f0 01 5e 58 03 77 05 4a 3e 33 36 2c f7
  607,928s  ampli  0x0377   f0 01 5f 26 03 77 1d 4a 3e 3f 7b 0b f7
  608,140s  ampli  0x0377   f0 01 60 24 03 77 1d 4a 3e 4c 4c 4d f7
  608,319s  ampli  0x0377   f0 01 61 31 03 77 0d 4a 3e 59 1e 0f f7
  608,529s  ampli  0x0377   f0 01 62 1a 03 77 05 4a 3e 66 63 6e f7
  608,740s  ampli  0x0377   f0 01 63 16 03 77 15 4a 3e 73 34 30 f7
  608,913s  ampli  0x0377   f0 01 64 1f 03 77 11 4a 3f 00 02 79 f7
  609,129s  ampli  0x0377   f0 01 65 2f 03 77 11 4a 3f 06 65 28 f7
  609,309s  ampli  0x0377   f0 01 66 77 03 77 09 4a 3f 0c 4e 49 f7
  609,519s  ampli  0x0377   f0 01 67 3e 03 77 11 4a 3f 13 30 79 f7
  609,728s  ampli  0x0377   f0 01 68 76 03 77 19 4a 3f 19 19 1a f7
  609,909s  ampli  0x0377   f0 01 69 6d 03 77 01 4a 3f 20 02 3b f7
  610,120s  ampli  0x0377   f0 01 6a 4c 03 77 11 4a 3f 26 64 6a f7
  610,328s  ampli  0x0377   f0 01 6b 06 03 77 19 4a 3f 2c 4d 0b f7
  610,540s  ampli  0x0377   f0 01 6c 4d 03 77 01 4a 3f 33 30 3a f7
  610,749s  ampli  0x0377   f0 01 6d 16 03 77 19 4a 3f 39 18 5b f7
  610,922s  ampli  0x0377   f0 01 6e 49 03 77 01 4a 3f 40 01 7c f7
  611,108s  ampli  0x0377   f0 01 6f 7a 03 77 01 4a 3f 46 64 2c f7
  611,318s  ampli  0x0377   f0 01 70 21 03 77 19 4a 3f 4c 4c 4d f7
  611,529s  ampli  0x0377   f0 01 71 7c 03 77 01 4a 3f 53 35 6e f7
  611,707s  ampli  0x0377   f0 01 72 20 03 77 09 4a 3f 59 18 1d f7
  611,919s  ampli  0x0377   f0 01 73 3a 03 77 11 4a 3f 60 00 3e f7
  612,129s  ampli  0x0377   f0 01 74 1f 03 77 01 4a 3f 66 63 6e f7
  612,339s  ampli  0x0377   f0 01 75 53 03 77 09 4a 3f 6c 4c 0f f7
  612,519s  ampli  0x0377   f0 01 76 13 03 77 11 4a 3f 73 34 30 f7
  612,729s  ampli  0x0377   f0 01 77 4d 03 77 09 4a 3f 79 17 5f f7
  612,937s  ampli  0x0377   f0 01 78 28 03 77 15 4a 38 3e 37 46 f7
  613,119s  ampli  0x0377   f0 01 79 3d 03 77 0d 4a 3c 4d 52 59 f7
  613,328s  ampli  0x0377   f0 01 7a 0d 03 77 01 4a 3d 4d 14 22 f7
